Site_ID,Habitat,Species,Count
F1,Forest,Aphantopus hyperantus,4
F1,Forest,Pararge aegeria,4
F1,Forest,Gonepteryx rhamni,3
F1,Forest,Araschnia levana,12
F1,Forest,Polygonia c-album,2
F1,Forest,Aglais io,9
F1,Forest,Aglais urticae,7
F1,Forest,Vanessa atalanta,2
F1,Forest,Vanessa cardui,9
F2,Forest,Gonepteryx rhamni,4
F2,Forest,Pararge aegeria,8
F2,Forest,Polygonia c-album,10
F2,Forest,Araschnia levana,5
F2,Forest,Celastrina argiolus,13
F2,Forest,Aglais urticae,3
F2,Forest,Vanessa atalanta,6
F2,Forest,Vanessa cardui,4
F3,Forest,Araschnia levana,6
F3,Forest,Pararge aegeria,14
F3,Forest,Gonepteryx rhamni,6
F3,Forest,Polygonia c-album,10
F3,Forest,Celastrina argiolus,5
F3,Forest,Aglais urticae,9
F3,Forest,Vanessa atalanta,7
F3,Forest,Vanessa cardui,5
F4,Forest,Aphantopus hyperantus,12
F4,Forest,Gonepteryx rhamni,2
F4,Forest,Araschnia levana,1
F4,Forest,Celastrina argiolus,11
F4,Forest,Pararge aegeria,4
F4,Forest,Aglais io,2
F4,Forest,Vanessa cardui,8
F5,Forest,Aphantopus hyperantus,4
F5,Forest,Araschnia levana,11
F5,Forest,Polygonia c-album,5
F5,Forest,Celastrina argiolus,12
F5,Forest,Gonepteryx rhamni,15
F5,Forest,Aglais io,2
F5,Forest,Aglais urticae,3
F5,Forest,Vanessa atalanta,4
F5,Forest,Vanessa cardui,7
F6,Forest,Araschnia levana,14
F6,Forest,Gonepteryx rhamni,13
F6,Forest,Polygonia c-album,13
F6,Forest,Aphantopus hyperantus,1
F6,Forest,Celastrina argiolus,4
F6,Forest,Vanessa atalanta,2
F6,Forest,Vanessa cardui,10
F7,Forest,Aphantopus hyperantus,7
F7,Forest,Araschnia levana,15
F7,Forest,Polygonia c-album,15
F7,Forest,Gonepteryx rhamni,11
F7,Forest,Celastrina argiolus,8
F7,Forest,Aglais io,3
F7,Forest,Aglais urticae,9
F7,Forest,Vanessa atalanta,10
F7,Forest,Vanessa cardui,10
F8,Forest,Celastrina argiolus,2
F8,Forest,Araschnia levana,13
F8,Forest,Polygonia c-album,1
F8,Forest,Pararge aegeria,14
F8,Forest,Aphantopus hyperantus,2
F8,Forest,Aglais io,3
F8,Forest,Aglais urticae,7
F8,Forest,Vanessa atalanta,7
F8,Forest,Vanessa cardui,8
F9,Forest,Gonepteryx rhamni,11
F9,Forest,Araschnia levana,15
F9,Forest,Pararge aegeria,9
F9,Forest,Aphantopus hyperantus,13
F9,Forest,Celastrina argiolus,5
F9,Forest,Aglais io,6
F9,Forest,Aglais urticae,7
F9,Forest,Vanessa atalanta,1
F10,Forest,Aphantopus hyperantus,14
F10,Forest,Araschnia levana,11
F10,Forest,Polygonia c-album,5
F10,Forest,Gonepteryx rhamni,14
F10,Forest,Pararge aegeria,11
F10,Forest,Aglais io,4
F10,Forest,Aglais urticae,3
F10,Forest,Vanessa atalanta,9
G1,Grassland,Lycaena phlaeas,15
G1,Grassland,Polyommatus icarus,6
G1,Grassland,Pyronia tithonus,15
G1,Grassland,Maniola jurtina,14
G1,Grassland,Coenonympha pamphilus,13
G1,Grassland,Aglais io,1
G1,Grassland,Aglais urticae,10
G1,Grassland,Vanessa cardui,8
G2,Grassland,Maniola jurtina,5
G2,Grassland,Pyronia tithonus,9
G2,Grassland,Lycaena phlaeas,14
G2,Grassland,Coenonympha pamphilus,10
G2,Grassland,Polyommatus icarus,7
G2,Grassland,Vanessa atalanta,4
G2,Grassland,Vanessa cardui,7
G3,Grassland,Polyommatus icarus,4
G3,Grassland,Coenonympha pamphilus,4
G3,Grassland,Lycaena phlaeas,2
G3,Grassland,Pyronia tithonus,6
G3,Grassland,Maniola jurtina,1
G3,Grassland,Aglais io,4
G3,Grassland,Aglais urticae,1
G3,Grassland,Vanessa atalanta,1
G3,Grassland,Vanessa cardui,1
G4,Grassland,Polyommatus icarus,11
G4,Grassland,Maniola jurtina,8
G4,Grassland,Lycaena phlaeas,4
G4,Grassland,Coenonympha pamphilus,9
G4,Grassland,Pyronia tithonus,3
G4,Grassland,Aglais io,10
G4,Grassland,Aglais urticae,4
G4,Grassland,Vanessa atalanta,7
G4,Grassland,Vanessa cardui,2
G5,Grassland,Coenonympha pamphilus,14
G5,Grassland,Polyommatus icarus,12
G5,Grassland,Pyronia tithonus,1
G5,Grassland,Lycaena phlaeas,11
G5,Grassland,Maniola jurtina,11
G5,Grassland,Aglais urticae,7
G5,Grassland,Vanessa atalanta,2
G5,Grassland,Vanessa cardui,4
G6,Grassland,Lycaena phlaeas,5
G6,Grassland,Coenonympha pamphilus,8
G6,Grassland,Maniola jurtina,4
G6,Grassland,Pyronia tithonus,14
G6,Grassland,Polyommatus icarus,15
G6,Grassland,Aglais io,9
G6,Grassland,Aglais urticae,9
G7,Grassland,Pyronia tithonus,4
G7,Grassland,Lycaena phlaeas,14
G7,Grassland,Coenonympha pamphilus,7
G7,Grassland,Polyommatus icarus,15
G7,Grassland,Maniola jurtina,1
G7,Grassland,Aglais io,1
G7,Grassland,Vanessa atalanta,8
G7,Grassland,Vanessa cardui,9
G8,Grassland,Coenonympha pamphilus,1
G8,Grassland,Pyronia tithonus,10
G8,Grassland,Maniola jurtina,12
G8,Grassland,Lycaena phlaeas,9
G8,Grassland,Polyommatus icarus,1
G8,Grassland,Aglais io,1
G8,Grassland,Aglais urticae,8
G8,Grassland,Vanessa atalanta,9
G8,Grassland,Vanessa cardui,9
G9,Grassland,Maniola jurtina,7
G9,Grassland,Pyronia tithonus,2
G9,Grassland,Lycaena phlaeas,15
G9,Grassland,Polyommatus icarus,10
G9,Grassland,Coenonympha pamphilus,4
G9,Grassland,Aglais io,1
G9,Grassland,Aglais urticae,7
G9,Grassland,Vanessa atalanta,10
G9,Grassland,Vanessa cardui,5
G10,Grassland,Pyronia tithonus,3
G10,Grassland,Polyommatus icarus,11
G10,Grassland,Maniola jurtina,11
G10,Grassland,Lycaena phlaeas,5
G10,Grassland,Coenonympha pamphilus,8
G10,Grassland,Aglais io,2
G10,Grassland,Aglais urticae,10
